time,mean_price,sigma_simple_r,sigma_ln_r,sigma_daily_7
2024-02-01,0.9992997914495946,0.015719185402691453,0.015720250970954187,
2024-02-02,0.9992784664216696,0.01241323616018415,0.012413234345575438,
2024-02-03,0.9992626080025849,0.008024589741311003,0.008024104521049529,
2024-02-04,0.999383409330423,0.0077321412264262975,0.007732230938193099,
2024-02-05,0.9989590120472801,0.017440594620914567,0.017438144246890913,
2024-02-06,0.9988478608046907,0.014108229387070202,0.014107178067707839,
2024-02-07,0.9993830589774269,0.01032676783862779,0.010327031262122033,
2024-02-08,0.9996499091244696,0.013139167184218838,0.013139828582543563,0.005778394638027033
2024-02-09,1.0000465988896534,0.007344368385991642,0.007344010906540268,0.006234900097796235
2024-02-10,1.000408616164445,0.003501622157734668,0.003501598957237162,0.006367155132287287
2024-02-11,1.0003458116861756,0.004717041766047293,0.004716982269051347,0.006577128835495045
2024-02-12,1.0002187536936977,0.008862927713596784,0.008862872840771722,0.005245760542761478
2024-02-13,1.0001836724319937,0.009439246338053523,0.009439209866102558,0.005011967308216302
2024-02-14,1.0003272028111203,0.011011432531230868,0.011011496024530262,0.004084746611674677
2024-02-15,1.0006036696695202,0.012534332466089633,0.01253378847345163,0.0041036779084827465
2024-02-16,1.0005614693933813,0.0055724110445529,0.005572350542525327,0.0036016681157769732
2024-02-17,1.000320160527402,0.003348829174115091,0.0033488875722381206,0.003282405349057247
2024-02-18,1.0001234963808636,0.005705795685467625,0.0057054966952209156,0.0035390206033618244
2024-02-19,1.0000052672695152,0.012420287671984928,0.012420115369113312,0.0035251523602945443
2024-02-20,0.9999890974636195,0.015567430549391524,0.015567072492956717,0.0035262964529709636
2024-02-21,0.99985996098502,0.005345637039131313,0.005345625411006895,0.003260219185523102
2024-02-22,0.999646081688301,0.00937247725302783,0.009372161959959957,0.0016420934633439859
2024-02-23,0.9997363021744636,0.004213379855450952,0.004213372042741258,0.0022660524486115287
2024-02-24,0.9997410813745596,0.0051120366690469215,0.005111999490037844,0.002144510329657656
2024-02-25,0.9997849367092791,0.008200405951855234,0.008200277114143206,0.002069321805290524
2024-02-26,1.0000213678262118,0.01275673375794972,0.01275565384585314,0.002797799862621641
2024-02-27,1.000583961317557,0.01405657577572594,0.014056166654829736,0.004898152330338732
2024-02-28,1.0005537394194943,0.10586697520690323,0.1058021419745036,0.004682397506996437
2024-02-29,1.0003017361791349,0.016704728131767845,0.016704868856716463,0.004842052597825518
2024-03-01,1.000364855849766,0.014743311351935127,0.014742933181656152,0.004847195137934376
2024-03-02,1.0010006316832545,0.01769533860204323,0.017695600909013925,0.006141235810243212
2024-03-03,1.0004945835822014,0.00711929212238428,0.007118745729011832,0.007908804866050067
2024-03-04,1.0006330530069174,0.012343905819400453,0.0123433018623842,0.00783832580991874
2024-03-05,1.0008601488884838,0.030905458562813914,0.030909560775172287,0.006921731554910584
2024-03-06,1.0006308246705296,0.01929696949004497,0.019294875276018572,0.007187509302895835
2024-03-07,1.0006647857137858,0.02313106666020306,0.023131427695027153,0.006839349522625844
2024-03-08,1.0014497656248333,0.08918962667472295,0.08917229473344211,0.008654076021417932
2024-03-09,1.0019405230399843,0.08544656178182078,0.08542303882061286,0.00821518495495816
2024-03-10,1.001782979087884,0.07017922787757823,0.07016583810840228,0.006834202772782869
2024-03-11,1.0005792843684629,0.015283832806397281,0.015284039850595888,0.012155171832702698
2024-03-12,1.0001914634462328,0.010235659806544752,0.010235797870662538,0.012243804897268142
2024-03-13,1.0005175101002879,0.01821962374585523,0.018219072003051617,0.012527558658910075
2024-03-14,1.0001638251977714,0.018206790387424714,0.018207842241352884,0.012744141068254186
2024-03-15,0.999558440153458,0.02046626413473186,0.02046511474805315,0.01088198744609704
2024-03-16,0.9996878634340555,0.009240538253603128,0.009240444313581706,0.009584339825641254
2024-03-17,0.9991435761375047,0.015494483654397121,0.015496325583627239,0.009588768446175905
2024-03-18,0.9993177582332385,0.015251426800664766,0.015250904925700859,0.007250856006198844
2024-03-19,0.9996138325933533,0.011390909721997584,0.011391153301732867,0.007726620191980941
2024-03-20,0.9997192040503765,0.012456860666581394,0.012456754302931626,0.007160766613230411
2024-03-21,0.9998835205691675,0.0075646785141960625,0.007564571331471933,0.007082928802836113
2024-03-22,0.9996887496047981,0.017281254584891763,0.017282148442568816,0.005542661741703438
2024-03-23,0.9998765164120249,0.00982975518716522,0.009829671357439108,0.005628967897835996
2024-03-24,0.9998397267406396,0.002418234975554711,0.002418228431695703,0.0031348952262118483
2024-03-25,1.0001542177475178,0.00639263257423408,0.006392331326527587,0.0034826547691452926
2024-03-26,1.000141013595518,0.003011349938403225,0.0030113461237848034,0.0032355124727569155
2024-03-27,0.9997742566368405,0.007123594089173077,0.0071234229483947385,0.004512572221419493
2024-03-28,0.9996195039447637,0.008978444436371883,0.008977822175955118,0.0044270323061249665
2024-03-29,1.0000613862910004,0.004069092828939681,0.004068916014231984,0.005345498887693292
2024-03-30,1.0004456906749524,0.0038178722500848985,0.0038177705958060176,0.005814019463126743
2024-03-31,1.000195624077431,0.002852816992214196,0.0028529249447764382,0.006263852157914415
2024-04-01,1.0001727221743635,0.00453197798886867,0.004532149559426292,0.00586078668930498
2024-04-02,1.000325581842082,0.007874533832102838,0.00787459734391989,0.005955281622131813
2024-04-03,1.000363558045525,0.0034968092678271945,0.003496718518681523,0.004964833533850645
2024-04-04,1.0002286208017754,0.008689027825869814,0.008688898442003752,0.004908317134707996
2024-04-05,1.0002289757153884,0.005360262230863982,0.005360424304315226,0.0038970602740942247
