time,mean_price,sigma_simple_r,sigma_ln_r,sigma_daily_7
2024-02-01,7.887184922149735e-13,0.30381902550698175,0.30385949740126844,
2024-02-02,8.064398308250771e-13,0.3046865106353469,0.3048370721572472,
2024-02-03,7.909003301633067e-13,0.2037882566163513,0.2039295166498293,
2024-02-04,7.792144577291688e-13,0.26100689676079136,0.2612180937521032,
2024-02-05,7.787237409619892e-13,0.26493898844137614,0.2650822239119923,
2024-02-06,7.924330018618504e-13,0.34464328561403706,0.34496484638311775,
2024-02-07,8.067512892726328e-13,0.2629273218335359,0.26286185844715615,
2024-02-08,8.359995665236696e-13,0.40801190607262633,0.4074258274224368,0.39278465347102204
2024-02-09,8.43287520203744e-13,0.3488701327784845,0.3491622966127637,0.3752635162437715
2024-02-10,8.510860746559481e-13,0.24712312335100356,0.2470671030432444,0.3059158732242649
2024-02-11,8.494104167002091e-13,0.25721282269774554,0.2573252045083363,0.250067982751357
2024-02-12,8.443591792532827e-13,0.4214981110140059,0.4214817540204759,0.26922629044205887
2024-02-13,8.670819377765784e-13,0.38755449533654507,0.38785107081527614,0.2892615199079739
2024-02-14,8.730363432994292e-13,0.277748572984128,0.2777674326420434,0.28872513949895506
2024-02-15,8.897933291699136e-13,0.3438333772774724,0.3439604310840965,0.21687017399325975
2024-02-16,9.225430950198868e-13,0.4742785928280865,0.4742515957891752,0.29528872065387207
2024-02-17,9.32344600677609e-13,0.3054374941955128,0.30552546464929603,0.29438603849933415
2024-02-18,9.506413679178721e-13,0.32810227864221553,0.32811717323458983,0.26663032581560286
2024-02-19,9.939861518501513e-13,0.339920415307261,0.3399334669984908,0.2648069906971328
2024-02-20,9.84726959134594e-13,0.6194149987647084,0.6196804683287203,0.3524547420364478
2024-02-21,9.623001053327733e-13,0.5198882842788618,0.5199973282710392,0.46036788329763006
2024-02-22,9.649420274679276e-13,0.796532010910836,0.7955758169180731,0.4649228737675491
2024-02-23,9.819066887346407e-13,0.6341627341197361,0.6346109913564223,0.42091681042225254
2024-02-24,9.983723170180024e-13,0.3759352778187705,0.37593166133733696,0.42454524591324827
2024-02-25,9.796043596747409e-13,0.32910014835093565,0.32944411535847,0.4608434444581703
2024-02-26,1.0194658718953338e-12,0.5092150336810198,0.5089955484418323,0.43489929279366085
2024-02-27,1.0440764112021525e-12,0.48496295550910024,0.48555116201002096,0.44038849186052187
2024-02-28,1.0256644444915683e-12,0.8478110038888306,0.8529999529293723,0.4191481203208862
2024-02-29,1.0300575963559047e-12,0.6112822622605059,0.6115697713028643,0.4178176178982513
2024-03-01,1.0167311825497826e-12,0.3235321513769804,0.32379484343929765,0.4397876694883468
2024-03-02,1.0712221425413213e-12,0.5783255207811204,0.5784134439379433,0.5620367115887093
2024-03-03,1.0805858594715809e-12,0.6281148009423301,0.6286355079137007,0.5072867143793084
2024-03-04,1.110472643985932e-12,0.6833819271205993,0.6837121907348824,0.4738393815673024
2024-03-05,1.1003153155591038e-12,1.1787166497299038,1.1806119472313985,0.4851353559402308
2024-03-06,1.0622652120674067e-12,0.6791467790937004,0.6792461233038566,0.5502360857423828
2024-03-07,1.140723020114456e-12,0.6176925922867242,0.6179657775997481,0.7388822010429741
2024-03-08,1.1472707496556203e-12,0.6017705138860023,0.6029003056990985,0.7070649530472305
2024-03-09,1.1354152572670744e-12,0.44533573846720803,0.445685142484559,0.6603316859242939
2024-03-10,1.200523477662572e-12,0.6965268447512634,0.6964487814378936,0.7473786896982465
2024-03-11,1.211714894811911e-12,0.639110266879733,0.639853173009253,0.7413719928875663
2024-03-12,1.1889738548071891e-12,0.748971850633775,0.7494132706966801,0.761960244679323
2024-03-13,1.2380948181400165e-12,0.6174719720848891,0.6173059113253668,0.6728110070517739
