date,fee,c,price,liquidity
2023-06-01,24122.70281909905,0.029023044805453865,1859.7310260250865,7034784377713214700
2023-06-02,20491.92666641792,0.03691992674830207,1905.767940155643,4640660722448990413
2023-06-03,4381.482313282306,0.005265175463389827,1888.4362890122113,6989561168331766201
2023-06-04,8878.968737509518,0.010698437219496159,1892.0355327223258,6964186688212545848
2023-06-05,44049.471568375666,0.060271621338085425,1810.7090153828467,6268972445691399489
2023-06-06,41552.24114801499,0.040805154560625514,1883.6140536333185,8563993498951330820
2023-06-07,35646.511138397655,0.050492682380725545,1828.0576315815529,6026796261445203566
2023-06-08,9338.850200961262,0.010810895086901577,1848.513564311523,7333533833669839247
2023-06-09,12510.109664310106,0.01452101408300475,1835.746393679955,7339233290620146635
2023-06-10,74286.01175259308,0.09571579530068394,1753.0108936134682,6765875273383493952
2023-06-11,20469.44999310662,0.026148843617471672,1750.9677817991374,6828219486299789028
2023-06-12,27686.742220066713,0.03595715459295083,1740.6372425528132,6736359693950834113
2023-06-13,24709.968824678228,0.03192675430562912,1737.9128373598812,6776357284914595519
2023-06-14,47653.12773299342,0.05937484639568139,1648.238102185,7215589229394346002
2023-06-15,34788.14973977242,0.04448092378878808,1665.7406837551123,6994339366550528282
2023-06-16,25804.442034803546,0.03330427002878841,1718.8973238536112,6821226183551161569
2023-06-17,19776.172285249733,0.025534432273613558,1726.6544720885786,6803089369362216293
2023-06-18,11037.863686151137,0.01429444698177889,1719.250207245602,6797371244499719574
2023-06-19,30898.832378021394,0.039641665233100004,1732.1080439927255,6835897684954225548
2023-06-20,38459.70400175371,0.04810252393989444,1789.6183127616598,6898437436308738352
2023-06-21,72917.60883001496,0.0835317167364594,1894.2861146018884,7320674344304298529
2023-06-22,39770.438800610114,0.04788749964368714,1874.9107759264323,7000688966956070129
2023-06-23,47119.51582746185,0.05231416405820703,1888.2737327260795,7565574596821159210
2023-06-24,19418.00496817181,0.02335552537867155,1873.1889827533046,7011598408972251325
2023-06-25,25181.78789214625,0.027851029303437,1900.5612525434663,7570023719547469603
2023-06-26,50155.961313136926,0.060596768870156886,1855.1894177792626,7014097953038053600
2023-06-27,29206.373649506964,0.032424484939971354,1891.804531216892,7558911919230482583
2023-06-28,27897.60256403591,0.03397566078892217,1831.4601073397955,7003144760781023866
2023-06-29,23044.141910821956,0.025527585070776744,1850.0539014073572,7660400614741164140
2023-06-30,89871.84940701157,0.126421898053931,1936.8153987920432,5895900181129271269
2023-07-01,6644.058823081823,0.010040253701562963,1922.45054891785,5508762611061349615
2023-07-02,28765.049860058636,0.04359103525038779,1936.71093212289,5473037329738263901
2023-07-03,18385.461661618596,0.026049719284061624,1955.1148200723414,5826103861417398289
2023-07-04,8129.366700224514,0.012204447672094979,1938.457909435759,5522087211845046655
2023-07-05,14501.4479569245,0.019028214373593713,1911.3374115530144,6362642424770147990
2023-07-06,43591.32658493346,0.04977239465380033,1853.0337835531366,7426133385320801932
2023-07-07,21552.579353063353,0.024485366601067086,1865.2233762873373,7439094601941940470
2023-07-08,10234.4850319393,0.011639161925139524,1860.0520308975995,7441741893419347295
2023-07-09,9535.645561351508,0.010835450790272155,1862.5507817632526,7442895460773984716
2023-07-10,26152.24949602006,0.029362374054701604,1876.0586613819162,7505636737807169855
2023-07-11,10904.054910243427,0.012242991296653492,1874.095552419508,7509265999291382306
2023-07-12,17513.79781831651,0.01968180616010263,1870.8624962092558,7509090032967999870
2023-07-13,52678.239216099166,0.07970340861635555,2003.4685475908761,5389592813047337495
2023-07-14,30778.6002295768,0.060935268307443065,1935.1670265522746,4190962489748710250
2023-07-15,3295.102277640452,0.006430283155622547,1935.379822592389,4251562442532349776
2023-07-16,6209.56786655426,0.012315993184805984,1924.6642766857242,4194761851932105242
2023-07-17,27641.262800109806,0.05444999648024558,1913.971557974436,4235309462992415823
2023-07-18,14860.591478839246,0.01994596174959822,1896.4720903927616,6244544289759911887
2023-07-19,15863.060203915235,0.01760292721195466,1889.6492235471042,7566662216992804548
2023-07-20,20313.254735317587,0.02252766465524335,1892.3901527051307,7565730494215331793
2023-07-21,7243.090511801215,0.008031864957316897,1891.0682786414677,7569144111602471423
2023-07-22,17777.630346173468,0.01636377205182723,1861.4205493899635,9190963954882939634
2023-07-23,17503.694108753338,0.015956412154359386,1883.4030670118357,9226047734317393332
2023-07-24,23258.322478232792,0.02163597768660175,1846.564246051786,9130877496858096742
2023-07-25,6587.715834582916,0.006079464020849137,1859.3592031109686,9172353423303411567
2023-07-26,22198.150412747716,0.020370083391321906,1872.7970953012405,9191184494823378073
2023-07-27,10756.15529646113,0.009910594332466004,1855.7951128234486,9195708912889758470
2023-07-28,9296.43581837795,0.008450867001887977,1872.3418658366122,9279306046848114642
2023-07-29,2649.0406803991455,0.002417197741514962,1879.979016120023,9225561565810021446
2023-07-30,9798.630192744818,0.009010141421152706,1859.3822903265313,9205391830654820383
2023-07-31,8382.686305269313,0.007744979834254596,1856.5063091517065,9168695988160972143
2023-08-01,31922.83040620882,0.029057600708999688,1867.9885795898408,9277851032376866538
2023-08-02,25757.62533728866,0.022904621583309345,1839.6745371226732,9569848588968510703
2023-08-03,15138.216187461812,0.013471388032140402,1836.3532203671523,9571436253400949012
2023-08-04,11215.783113876065,0.010833793536214189,1824.7069648313234,8845967659509274318
2023-08-05,2367.719904022597,0.0022828049068937574,1831.5348719647066,8845997170415946801
2023-08-06,842.9726364934177,0.0008124171664207687,1829.2346133696587,8855081138892164385
2023-08-07,19008.427167713617,0.018387142725799624,1822.353752117484,8839108354093033912
