date,fee,c,price,liquidity
2023-06-01,10294.688145611493,0.022736872245177477,26866.3078832673,10082572287439
2023-06-02,9775.873883680806,0.021448858386467606,27277.722491186905,10072568264714
2023-06-03,2391.7721271302385,0.005252950332901395,27074.308114547137,10100216588761
2023-06-04,4845.246849206246,0.010630642855507732,27182.78933087899,10090257156981
2023-06-05,16980.301335488097,0.09684504160361608,25834.277467307136,3981646572203
2023-06-06,21144.447329811228,0.044894085798101835,27234.425635932974,10416959125262
2023-06-07,26865.382380299496,0.05014336028003852,26295.651860522146,12059532880891
2023-06-08,12319.588773062997,0.025777628535000135,26564.480209485755,10702751785478
2023-06-09,7509.34295068248,0.015831836406920468,26444.70122710473,10646189137456
2023-06-10,14262.813353388463,0.07303042268185311,25899.762657564657,4429414847096
2023-06-11,4328.331875782522,0.02216818807928188,25886.523282524096,4429414847096
2023-06-12,4965.4103664017175,0.025398972586549606,25874.550882671694,4436039979819
2023-06-13,9764.321137519457,0.056029503673686115,25837.77686714356,3957223430333
2023-06-14,12686.000909639844,0.0630120437205003,25025.70666361434,4645161973480
2023-06-15,8200.688212996833,0.04282238930851111,25489.211642005488,4378184588081
2023-06-16,9787.705885913301,0.01907634877520326,26341.316618307013,11538777040453
2023-06-17,9227.086451062243,0.01812625401427837,26503.550166159264,11412935594400
2023-06-18,5480.015698347106,0.010763295534494004,26363.376962821316,11445344838717
2023-06-19,18248.449405378396,0.03544493795146685,26738.095212271797,11492099541911
2023-06-20,31302.96265134223,0.07697998187423946,28299.39542397952,8822911525689
2023-06-21,55519.60591880109,0.1256172956567206,30069.845968750247,9303025214502
2023-06-22,24689.287128382104,0.0537053116602747,29975.183126901033,9691773392568
2023-06-23,32055.321782116585,0.07510476974610843,30634.663860976376,8900592676271
2023-06-24,11466.001266551133,0.026363175374177088,30470.282437735797,9094291933410
2023-06-25,8105.856441742348,0.021647884256436697,30460.05941898942,7830886728162
2023-06-26,16619.993548702918,0.04300828796368628,30133.08820036507,8125493347046
2023-06-27,9987.321074425337,0.02661559023608665,30591.137464527874,7830832992115
2023-06-28,10232.451284716219,0.0252814264577274,30047.612082986216,8522480057827
2023-06-29,8419.797100032976,0.022750459227235467,30415.562155004198,7745623788676
2023-06-30,34274.217767047376,0.09254615175686844,30466.701417818666,7744427765803
2023-07-01,1849.8771570684953,8.171627293416545e-05,30557.958043114002,472677618356807
2023-07-02,6369.948630794136,0.01687314716205239,30561.08383980413,7882215858484
2023-07-03,7893.446995972144,0.020922351625600803,31062.020863441943,7813294809213
2023-07-04,5262.441777270067,0.013859746190782238,30756.19596081799,7902392223870
2023-07-05,5469.939254589541,0.014413570746383435,30470.550148622635,7935305221087
2023-07-06,21991.940354416925,0.05313812954252921,29971.293216760056,8725642369323
2023-07-07,11197.672438977208,0.0012898306309395249,30240.30166202881,182219511326313
2023-07-08,3026.955630264289,0.007420222237541509,30194.043839208418,8568826830208
2023-07-09,2506.9540128757135,0.006336884276979284,30150.544087851245,8316026772553
2023-07-10,12802.438796618271,0.03349738991658135,30323.428591266103,8010976395410
2023-07-11,7405.233547186285,0.018835527882824492,30528.44313684411,8212993887616
2023-07-12,8554.632957284159,0.02167503579715127,30341.919584701736,8270140639756
2023-07-13,17902.001718908286,0.04737212639097673,31387.980005140776,7785560717196
2023-07-14,17160.140172049647,0.041817487276282234,30246.403471565707,8612294882122
2023-07-15,1888.7250008962058,0.004583470835775065,30379.415953909916,8629336629121
2023-07-16,4314.402237370739,0.010206651233373977,30223.009370328477,8874857103755
2023-07-17,11008.53435768115,0.026061506875070986,30181.29454882834,8874704713632
2023-07-18,7408.494090209817,0.018025681654305008,29774.049123046887,8693850266325
2023-07-19,6969.486011098403,0.01693297893394097,29904.034230382415,8687510780559
2023-07-20,9297.422971239703,0.022596278019926974,29783.65213023954,8702210181717
2023-07-21,3873.31581435595,0.00018922406514076525,29872.070460299994,432281592487137
2023-07-22,3640.9252725641895,0.008854297478112906,29747.364630765835,8702144140014
2023-07-23,8500.95818048314,0.01613636333464604,29988.429767538968,11103968395096
2023-07-24,12353.846511946904,0.030718114796878346,29105.35517472202,8604270494017
2023-07-25,1673.4663557683655,0.004152559349411203,29262.759011818584,8598770668635
2023-07-26,9715.834722969346,0.02377600646485114,29423.425789883306,8695357743132
2023-07-27,9224.091377068436,0.023085893196867352,29113.009206179915,8547246519388
2023-07-28,3835.137095838652,0.00949634441303729,29314.879672827585,8609407072106
2023-07-29,1342.0513425465756,0.003265138854100614,29383.152509778036,8752077319640
2023-07-30,2364.8914144885644,0.0058768984839619905,29196.33049864059,8595907721251
2023-07-31,6001.39508161844,0.015358732058496192,29180.202642091725,8349213501922
2023-08-01,12610.950878232688,0.024555543012352098,29586.960016698977,10897853959304
2023-08-02,12251.6315464645,0.027379569390838625,29127.97411313009,9569847967811
2023-08-03,5104.9342746187485,0.011401478451844799,29225.82764781683,9559571795122
2023-08-04,8705.618440248758,0.01876991480460084,28997.792382253294,9941404010088
2023-08-05,261.7323228319173,0.000564454166170007,29023.017949172787,9934597030816
2023-08-06,681.1290941689407,0.0014667433378738105,29075.161932857583,9940474154884
2023-08-07,7561.784649187053,0.01626237176570839,29115.601519137574,9946502611005
2023-08-08,15409.434918838175,0.025913549123389102,29798.20265805277,12573542224389
2023-08-09,11504.70015612833,0.01954440064130641,29529.624677773416,12503075350392
2023-08-10,3663.6225112378706,0.007724829327255964,29422.04988305424,10092022886575
2023-08-11,1291.1835266488729,0.002733516305764334,29357.879293126614,10062290049516
