date,fee,c,price,liquidity
2024-02-01,3211.381924341627,0.05844240683271793,2302.7588866563397,417957859509033208
2024-02-02,2198.4617321006267,0.039689193529201465,2306.894787726008,420945243638197258
2024-02-03,1068.4083188742673,0.022014096209977158,2294.5217533626824,369813852935352764
2024-02-04,1536.797613036555,0.03144023038715595,2289.0076117423155,372906714730992229
2024-02-05,2233.8680179256994,0.03942657930102576,2297.98460738338,431407527229667878
2024-02-06,2937.0673354751852,0.055956032206069005,2370.9222684554697,393460553398903697
2024-02-07,2690.321812010938,0.048573583492939346,2424.2991095287607,410585730360551759
2024-02-08,3935.0903981334213,0.043578446372983415,2421.5008305838605,669782079973743540
2024-02-09,4670.438373276226,0.058477066493330176,2488.1388946029206,584423434541911281
2024-02-10,2325.0754285293783,0.0221094049278548,2500.734437324506,767571904555648726
2024-02-11,4238.06404483405,0.03831286630424869,2506.604756706124,806441383483713657
2024-02-12,10277.829418065328,0.09858365567990379,2659.368713831035,737904355221477636
2024-02-13,8559.699201055202,0.09039426744457442,2641.985383574762,672427200456357479
2024-02-14,7365.256080509563,0.07193215499300758,2777.9231215409095,709083750468407401
2024-02-15,9515.737906940065,0.0868459638305148,2824.413763427802,752526047922683349
2024-02-16,8711.13787667928,0.07313539208894537,2804.8230529672974,820894647494335389
2024-02-17,4722.111122305335,0.03879292803911298,2787.6895549019177,841500353109530775
2024-02-18,5292.865415097472,0.04943849266487435,2880.0330503201267,728148163810796861
2024-02-19,8853.427369348232,0.07955990254048743,2944.5771227973664,748511684194890749
2024-02-20,15636.829403258456,0.14523382466053486,3014.727799945072,715730847168909414
2024-02-21,13622.83464848878,0.10653451855099559,2968.965018861646,856579076647326782
2024-02-22,13754.488824317606,0.09109560165926697,2969.6771786136246,1011312301317781803
2024-02-23,9978.166445757588,0.06299807861046246,2921.597123735061,1069562432791611918
2024-02-24,4207.604639158374,0.026449544029800272,2990.6200538296316,1061766404418209096
2024-02-25,6663.913915401134,0.11906882419979833,3111.6039956027084,366211533095376891
2024-02-26,9800.685941569858,0.057958388560585446,3178.968065863149,1094686979174104250
2024-02-27,12854.056273881162,0.06620327172840856,3244.031407184921,1244259839177619216
2024-02-28,30847.4560940595,0.16744564866102077,3386.021195135174,1155562705092484256
2024-02-29,25244.05779208289,0.15564005593405725,3343.619805522132,1023816695747067030
2024-03-01,14462.437735572013,0.07578898249846508,3435.3275822565593,1188349566245228154
2024-03-02,8594.382022101858,0.045657456053441105,3422.545821292313,1174413874487655554
2024-03-03,10186.077520736102,0.05591933977645786,3490.0977046562566,1125431363117531326
2024-03-04,27792.643901059542,0.1857550526515995,3630.2374928903014,906388888506783487
2024-03-05,34743.88538080224,0.803267513600763,3559.7301653530694,264607716801645326
2024-03-06,33136.94848976811,0.18451422225412595,3819.6648946601126,1060627537176052823
2024-03-07,20135.600074130623,0.10598860967102691,3873.445910231083,1114164965660041177
2024-03-08,19370.088627421424,0.10706775156334533,3893.9160056353885,1058211556657061750
2024-03-09,5472.807585856604,0.029450900424622325,3915.777376114751,1083915608141719898
2024-03-10,10240.241775106853,0.05400900220253183,3883.322829752626,1110542473572640493
2024-03-11,19494.203961342133,0.10182945991034638,4068.9642990617094,1095425862127894730
2024-03-12,23835.495033626346,0.11569481651243022,3978.334168714264,1192209310250467001
2024-03-13,16305.532538922884,0.07326755621576564,4007.07765086617,1283223387989470358
2024-03-14,17767.9216605924,0.09462495410981117,3882.1793223836617,1099983111362442891
2024-03-15,18345.048282935728,0.30867971607831224,3739.871815668159,354711503378791881
2024-03-16,10370.68450460507,0.3795262729187483,3521.024909299541,168083039358420561
2024-03-17,7443.920349662508,0.11718553015849674,3642.5479463730844,384165140731340816
2024-03-18,10461.084240392931,0.15653207362540505,3518.249630893905,411247148756591070
2024-03-19,16924.748194719974,1.0992261007675732,3160.0819307344914,99972114316754319
2024-03-20,16444.697096337946,0.3504465337858668,3515.0420179009866,288889470998857445
2024-03-21,10907.90708931402,0.1799008609811454,3491.537032877035,374535274187802071
2024-03-22,8772.537074216172,0.31254334944597467,3333.0662548573314,177454019654224967
2024-03-23,4421.989643666666,0.16103729780168338,3333.4283392237226,173595534529899039
2024-03-24,4496.642312407602,0.08703320251837836,3453.653654233589,320890493797315823
2024-03-25,9882.598770843646,0.14269379394818824,3587.6839967591336,422038286559212614
2024-03-26,8339.784044303235,0.09218712935022187,3588.203604446751,551237607044820087
2024-03-27,11072.393771309993,0.1381914798899963,3500.8592070005993,494271758340325976
2024-03-28,7041.522513908636,0.07766924628335573,3561.447387351194,554494291505953815
2024-03-29,4664.366712280139,0.05691582965755888,3513.2181143504686,504661209464976651
2024-03-30,3132.6265668070996,0.03816036715474926,3508.1038531565564,505886075698106889
2024-03-31,4178.971591395444,0.047417695195323,3647.398250727604,532635673196655595
2024-04-01,8926.967606452974,0.10822844309503292,3505.2315510530925,508507141079154188
2024-04-02,8668.83528074675,0.36021506294857714,3277.313285019611,153437942594689186
2024-04-03,4691.071743702066,0.18464291892576326,3313.129463860232,161106506001211319
2024-04-04,4847.043631115333,0.08945899621620057,3329.6486657375394,342725617406688917
2024-04-05,6889.365383123508,0.12009354836331347,3319.075063218152,363449326840104503
2024-04-06,3045.373041325545,0.039418781604027724,3353.2877976587383,486961641296488919
2024-04-07,3690.366612529487,0.048985400092759514,3452.1754120245096,468003703566129970
2024-04-08,7534.9530718047545,0.09122759182503658,3694.7578735378333,495968636459243741
2024-04-09,10508.180133762058,0.09839344666894885,3504.842866499701,658445635848209926
