time,mean_price,sigma_simple_r,sigma_ln_r,sigma_daily_7
2023-06-01,26938.950530963266,0.18468403997594565,0.18503153053169769,
2023-06-02,27105.9185103608,0.17351230707711926,0.17377245646854586,
2023-06-03,27222.191571982814,0.0562766759444765,0.05630681717266927,
2023-06-04,27173.389304926215,0.10417973137888537,0.10415842300934768,
2023-06-05,26504.82241964197,0.35969653978218835,0.360650092713509,
2023-06-06,26147.98948896562,0.3238885358018599,0.32365944035354194,
2023-06-07,26696.300138800663,0.24215586317661109,0.24238512058295755,
2023-06-08,26472.215956719658,0.1482433364335737,0.14821284424093323,0.28299660394566695
2023-06-09,26518.91700212907,0.12148977666101071,0.12160981080701894,0.2765397510791866
2023-06-10,25843.234267270927,0.3413497150946547,0.3418312018824135,0.31009911868833845
2023-06-11,25864.888311955965,0.11376725600969627,0.11374307164908351,0.31349695418534884
2023-06-12,25861.831866595792,0.18876640836049655,0.1889729399137712,0.2771830764770193
2023-06-13,25977.00121362766,0.18783653272203782,0.1879245760515028,0.26769066688964716
2023-06-14,25789.626931971867,0.39658788359014757,0.3980208196741043,0.1955725006351962
2023-06-15,25094.032756072178,0.19160835472614238,0.19154222793138384,0.2533600092179738
2023-06-16,25755.28812997546,0.28581118678749207,0.28585630962608466,0.35145771625798405
2023-06-17,26476.180300240554,0.21604306412269556,0.21525482269941995,0.3646855953934037
2023-06-18,26508.991295667172,0.11372021115232943,0.1138260985914128,0.3645109067928062
2023-06-19,26471.383424025815,0.216636541712175,0.21674817999368873,0.3654541126422325
2023-06-20,27186.049550554344,0.2981806513556025,0.29789108640420237,0.4033614811535979
2023-06-21,29302.593574822295,0.45487329338355964,0.45407051438657214,0.6292214972732617
2023-06-22,30097.940144379492,0.29750679451873135,0.2979678029140074,0.49682956160417574
2023-06-23,30292.215229650483,0.34306632936283327,0.3430972789666618,0.5177532326270132
2023-06-24,30574.330475169954,0.15843079257749215,0.1585964887876332,0.525951978303634
2023-06-25,30596.695186925917,0.09350159093101572,0.09351848391631067,0.5271289052487046
2023-06-26,30224.821580012795,0.24837082078480843,0.24890585157387762,0.5596160023019143
2023-06-27,30483.134783680856,0.17831671141845512,0.17828936078626004,0.5603918849492837
2023-06-28,30241.36130034933,0.17350556047121177,0.17375093179765974,0.24690189230260304
2023-06-29,30357.14496829923,0.1660091692357819,0.16592086050525126,0.15912375902167294
2023-06-30,30557.72425234564,0.42890028397374286,0.4297084782660258,0.15943050151083904
2023-07-01,30482.30924496302,0.06450285289006262,0.06452395087557791,0.1453857377902489
2023-07-02,30533.47056960837,0.16382640064840523,0.16399006684779088,0.14599579339360283
2023-07-03,30830.780915538748,0.14298221163527086,0.1429174449582406,0.12104392530729041
2023-07-04,30982.235453958707,0.10643222778418147,0.1064926765722034,0.11324632888247281
2023-07-05,30582.840801677998,0.1370373035735959,0.13720555760214706,0.14249251324588783
2023-07-06,30514.14271637883,0.264261149431426,0.2643997809445203,0.14353693349527905
2023-07-07,30163.809325401427,0.15338185749260919,0.15342189185288102,0.15747394014508473
2023-07-08,30204.063944253925,0.09103532043168124,0.09111536566711087,0.15891323017855702
2023-07-09,30277.237486254842,0.06453347424017855,0.06452179511265661,0.15984406381325172
2023-07-10,30242.148186207556,0.17573215355667168,0.17584613895474027,0.13144241908567844
2023-07-11,30489.36496973447,0.13113817784089588,0.13107119560909916,0.14444753072709268
2023-07-12,30571.748039092,0.14485305021648337,0.14485937168618482,0.11567805858915474
2023-07-13,30697.790739719327,0.264556018238162,0.2642252447950172,0.1174048837972886
2023-07-14,31030.01261765543,0.23570516722973475,0.23595490138201183,0.07871519181266827
2023-07-15,30313.63370457483,0.06044343476896587,0.060370250035692276,0.21305352902489297
2023-07-16,30292.736659505266,0.11987466051907728,0.11999963701825452,0.21259305322187536
2023-07-17,30152.69190833845,0.16225889914478847,0.16237454483425276,0.21532156019182222
2023-07-18,29949.563251713895,0.153549656535604,0.15385520404657244,0.20605534602187417
2023-07-19,29979.12144570418,0.10197953434064312,0.10197654145542716,0.20378180297506573
2023-07-20,29966.32595351233,0.1336397285826252,0.13370875942434288,0.19699138865224694
2023-07-21,29830.869604035848,0.08426260345563472,0.08424477559387362,0.15666415420460836
2023-07-22,29905.247615611257,0.13860960182382964,0.13880092277971043,0.06475955119779617
2023-07-23,29899.8385140709,0.1360567691032148,0.13607227646888934,0.06545293700910915
2023-07-24,29412.864125464115,0.3574352300765118,0.36019123818211596,0.12369887998927588
2023-07-25,29194.769294163834,0.053951098094580305,0.053920628689055214,0.12486186754494594
2023-07-26,29315.6710165481,0.14129149640721314,0.14121704393801643,0.1337079193258108
2023-07-27,29368.569858327446,0.13531476131930115,0.1353572720484594,0.13741289417738325
2023-07-28,29252.09573481255,0.0855272702362857,0.0854908791479632,0.13706133375073207
2023-07-29,29355.034325607896,0.0640047693147448,0.06390052938459372,0.1396346642710098
2023-07-30,29327.55331380174,0.07716267813394403,0.07725273997201262,0.13893476585621187
2023-07-31,29307.440537205173,0.13602901219202823,0.13607196155683393,0.07917917321032081
2023-08-01,28970.968373831027,0.24998207900028954,0.25031473292009065,0.10270965664225191
2023-08-02,29417.929051698848,0.17715701474558052,0.17745557821991653,0.15610943204930536
2023-08-03,29158.647473301105,0.1022732155070627,0.10232782172736431,0.1691081224164013
2023-08-04,29138.06364321153,0.0890090448102506,0.08911692516485287,0.16724731171615134
2023-08-05,29024.069905221422,0.009120034495307138,0.009117958569516093,0.16490833972832128
2023-08-06,29021.038638036298,0.022083682394551253,0.02207707871936716,0.1652170018772315
