time,mean_price,sigma_simple_r,sigma_ln_r,sigma_daily_7
2023-06-01,1864.1079351392834,0.30463988726327396,0.30483076072940274,
2023-06-02,1889.8832046714463,0.2621902540992968,0.2621107486842349,
2023-06-03,1899.0066675563376,0.17595549328302754,0.17601599977436305,
2023-06-04,1899.6055782035755,0.1784568779883672,0.17852668150127216,
2023-06-05,1849.897404647061,0.43330240433977696,0.4337231338467948,
2023-06-06,1835.577128080558,0.3794471954168304,0.3791047406091698,
2023-06-07,1860.3109803225004,0.3434472300433171,0.3435611656147293,
2023-06-08,1843.7699694892613,0.1957972810653393,0.1957672224729687,0.2706992347697621
2023-06-09,1840.5839728202877,0.17457842419295444,0.17459649529234703,0.23859276022526898
2023-06-10,1762.141165590594,0.5141970986604893,0.5145068348449167,0.3536546037389481
2023-06-11,1752.8108774785007,0.2534745715896051,0.2534474626605369,0.3454625779082303
2023-06-12,1740.4369461548404,0.33927918909052146,0.33928224649497213,0.3221397370399415
2023-06-13,1743.2341808973924,0.33405343818026134,0.3341326503801275,0.3305332821284851
2023-06-14,1727.4440162372446,0.530055272416652,0.5314723416122474,0.28107629771488957
2023-06-15,1649.808489705167,0.3722270762886998,0.3721678430580716,0.37417042966583053
2023-06-16,1682.894112508623,0.4196641708353951,0.4190779340978964,0.44885015222705693
2023-06-17,1732.761887351051,0.3818894865899906,0.3798356885030507,0.45680160976803474
2023-06-18,1731.8530344160326,0.2251275607892676,0.22517865539019408,0.4561030130142115
2023-06-19,1725.7936392548534,0.31469146331580733,0.31487937351433265,0.4541691811451859
2023-06-20,1744.8333078249248,0.3389239743680975,0.33881986704552064,0.4624362573252386
2023-06-21,1837.6803858691358,0.4836333069278221,0.4834568467616965,0.5869370850618761
2023-06-22,1897.5481966784262,0.3698974084633443,0.36993894690771384,0.38265981096662893
2023-06-23,1887.9191135415717,0.42792357510035595,0.428161427773049,0.42458715118187196
2023-06-24,1886.412793859284,0.2147799398493155,0.21478748435136685,0.42534776252342243
2023-06-25,1899.7820979119417,0.26694911040358527,0.26694086838215014,0.41467541243504574
2023-06-26,1874.6692775719546,0.3877209080917393,0.3881524423979002,0.4438371430196234
2023-06-27,1879.989828819874,0.31276126270785287,0.31278975161168043,0.44896982182023387
2023-06-28,1855.2192029526316,0.3483269942537342,0.3485427375489564,0.2999910982749798
2023-06-29,1849.9774203781442,0.265184973033993,0.26516431446044386,0.14602298392070395
2023-06-30,1890.2188552478426,0.5784173366102344,0.5788399602431703,0.2324242778605463
2023-07-01,1921.9444060863907,0.19886215324155074,0.19889301198592343,0.2606256768751265
2023-07-02,1918.438302051931,0.3344181431082459,0.3347964955103226,0.2595435073333744
2023-07-03,1957.180667465166,0.28446708596109405,0.2844698817289343,0.2565942205934517
2023-07-04,1951.9149789482342,0.1855998473619315,0.18561007670684912,0.2640619538612854
2023-07-05,1920.7506117774135,0.25193186322934097,0.2520596238583551,0.2765151323290733
2023-07-06,1903.2241015552818,0.3635304943689015,0.3635883631403738,0.2908159642868176
2023-07-07,1861.4509403143777,0.29047767310165884,0.29056700270914,0.30103412952418235
2023-07-08,1860.7774195424863,0.14251960573686268,0.1425537874215585,0.25805812183922866
2023-07-09,1867.3303863708104,0.16730087437669694,0.16727725401881546,0.26428216587480907
2023-07-10,1867.4755326120332,0.2352725070967208,0.23530509430674432,0.17971282772029804
2023-07-11,1875.378851717649,0.18046471566700184,0.18044881298573787,0.1952522331454904
2023-07-12,1883.439627209761,0.23777789102210542,0.23772247437160915,0.18468441061553578
2023-07-13,1912.1928322067374,0.47555434584927936,0.4752035779636536,0.21502396830089004
2023-07-14,1981.0242443780985,0.398760749633208,0.3988199355432471,0.247893579553905
2023-07-15,1934.0286155584372,0.140636644461404,0.14063201720615465,0.3413629880224759
2023-07-16,1930.8274294089574,0.19384033289634867,0.19396287396534115,0.3453655423579448
2023-07-17,1914.3109594193893,0.28826598855743824,0.2883009930035741,0.3581279927480486
2023-07-18,1900.569037843093,0.23331729816800048,0.2333573577157736,0.36646724225108934
2023-07-19,1905.8439979846273,0.23442401389971892,0.23444599719324832,0.36606730212209426
2023-07-20,1900.4707086624448,0.22004945942632514,0.22006591952557286,0.3486143770425246
2023-07-21,1892.8885894594325,0.15306028211737377,0.15303503817829908,0.1618566712161405
2023-07-22,1888.6364002779774,0.26900406877166483,0.26956915426486505,0.07149941390377552
2023-07-23,1877.7988754510327,0.15976068750063377,0.1597236701162843,0.07158268539467245
2023-07-24,1858.553512717041,0.2845910628842446,0.2851573060387944,0.0788685871401775
2023-07-25,1855.4981210719393,0.1508663267303845,0.15084272248673034,0.07626399259870376
2023-07-26,1860.3072078200303,0.2366215723553076,0.23656900795600275,0.07536317632487477
2023-07-27,1870.9843050731372,0.14915363313800087,0.14916747842959183,0.10073575335498314
2023-07-28,1868.5110277132333,0.12443210385245446,0.12441688634289329,0.09972072543627707
2023-07-29,1875.209095945214,0.08016600130006525,0.08015145707820377,0.10690023607254186
2023-07-30,1874.1297307674517,0.16361366850364314,0.1636390264486577,0.0992196069197067
2023-07-31,1863.8774813120538,0.18533449940964464,0.1853011173177504,0.07233468509738084
2023-08-01,1838.6286616625039,0.2978897499295871,0.2983263887281012,0.12490286174651948
2023-08-02,1852.7601683560436,0.23874750580503012,0.23887414147015965,0.13912903311148214
2023-08-03,1839.8230815784127,0.16722277504637942,0.16723960669935745,0.13434708210015725
2023-08-04,1836.3610709690695,0.19048982297867093,0.190489699671356,0.13414075294879335
2023-08-05,1833.0030278972467,0.08305938200285776,0.08304268404431106,0.12467458495671332
